CLIENTS,CERTIFICATIONS,WEBSITE
Palette Group,MBE,"<a href=""https://www.palettegrp.com"" target=""_blank"" rel=""noopener"">www.palettegrp.com</a>"
Pegbo,SBE,"<a href=""https://pegbo.com/"" target=""_blank"" rel=""noopener"">https://pegbo.com/</a>"
People Tech Consulting,Texas Hub/MBE/WBE,"<a href=""https://peopletechconsulting.com/"" target=""_blank"" rel=""noopener"">https://peopletechconsulting.com/</a>"
Perfect Parts Corporation,DBE,"<a href=""http://www.perfectelectronicparts.com/index.php"" target=""_blank"" rel=""noopener"">http://www.perfectelectronicparts.com/index.php</a>"
Pharmathek,WBE,"<a href=""https://www.pharmathek.com/"" target=""_blank"" rel=""noopener"">https://www.pharmathek.com/</a>"
PiePeople Consulting Inc,MBE/SBE/WBENC/WOSB/CPUC,"<a href=""https://www.piepeople.com"" target=""_blank"" rel=""noopener"">www.piepeople.com</a>"
Pinnacle Tek LLC,WBENC/MBE,"<a href=""https://www.pinnacletek.net"" target=""_blank"" rel=""noopener"">www.pinnacletek.net</a>"
Podcast Laundry,MBE,"<a href=""https://podcastlaundry.com"" target=""_blank"" rel=""noopener"">podcastlaundry.com</a>"
Preferred Speakers,WBENC,"<a href=""https://www.preferredspeakers.com"" target=""_blank"" rel=""noopener"">www.preferredspeakers.com</a>"
Priceless One Management,MBE/WBENC,"<a href=""https://www.pricelessone.com/"" target=""_blank"" rel=""noopener"">https://www.pricelessone.com/</a>"
Priority Grading LLC,WBENC/WOSB/DBE,"<a href=""https://Prioritygrading.com"" target=""_blank"" rel=""noopener"">Prioritygrading.com</a>"
"PRMRY, LLC",WBENC,"<a href=""https://www.helloprmry.com"" target=""_blank"" rel=""noopener"">www.helloprmry.com</a>"
Profit Apps Inc,MBE,"<a href=""https://www.profit.co"" target=""_blank"" rel=""noopener"">www.profit.co</a>"
ProImpress,WBENC,"<a href=""https://proimpress.com/"" target=""_blank"" rel=""noopener"">https://proimpress.com/</a>"
Proven Patterns Inc,MBE,"<a href=""https://proven-patterns.com/"" target=""_blank"" rel=""noopener"">https://proven-patterns.com/</a>"
Proximous Inc,MBE/SBE/CPUC/DBE,"<a href=""https://www.proximous.com"" target=""_blank"" rel=""noopener"">www.proximous.com</a>"
Puppy Love Party Inc.,WBENC,"<a href=""https://www.puppyloveparty.com"" target=""_blank"" rel=""noopener"">www.puppyloveparty.com</a>"
Quebec Sol,WBE/SBE(TX Hub),"<a href=""https://quebecsol.com/"" target=""_blank"" rel=""noopener"">https://quebecsol.com/</a>"
Quick Printing Center Inc,MBE/SBE/SLEB,"<a href=""https://www.qnrprint.com"" target=""_blank"" rel=""noopener"">www.qnrprint.com</a>"
R Mo LLC,WBENC/USPAACC/SBE/MBE/EDWOSB/DBE/CPUC/BART/8a,"<a href=""https://www.rmollc.com"" target=""_blank"" rel=""noopener"">www.rmollc.com</a>"
Radixlink Inc,MBE,"<a href=""https://www.radixlink.com/"" target=""_blank"" rel=""noopener"">https://www.radixlink.com/</a>"
Ram Tech,WBE,"<a href=""https://www.ramtechconstruction.com/"" target=""_blank"" rel=""noopener"">https://www.ramtechconstruction.com/</a>"
Ray Techno Solutions,WBENC/WOSB/MBE/SBE/CPUC,"<a href=""https://n/a"" target=""_blank"" rel=""noopener"">n/a</a>"
Re Code Solutions LLC,MBE/CPUC,"<a href=""https://www.recodesolutions.com"" target=""_blank"" rel=""noopener"">www.recodesolutions.com</a>"
Rebaworx LLC,WBENC,"<a href=""https://www.rebaworx.com"" target=""_blank"" rel=""noopener"">www.rebaworx.com</a>"
Rebel Unicorn Crafts LLC,WBENC,"<a href=""https://www.rebelunicorncrafts.com"" target=""_blank"" rel=""noopener"">www.rebelunicorncrafts.com</a>"
Redolent Inc,MBE/SBE/CPUC,"<a href=""https://www.redolentech.com"" target=""_blank"" rel=""noopener"">www.redolentech.com</a>"
Reimagine Talent Co,MBE/WBENC,"<a href=""https://www.reimaginetalentco.com"" target=""_blank"" rel=""noopener"">www.reimaginetalentco.com</a>"
Resourznet Solutions,MBE/SBE,"<a href=""https://resourznet.com/"" target=""_blank"" rel=""noopener"">https://resourznet.com/</a>"
RevOne Design,WBENC/WOSB/MBE/SBE/NGLCC/CPUC,"<a href=""https://www.revonedesign.com"" target=""_blank"" rel=""noopener"">www.revonedesign.com</a>"
Right Skale Inc,WBE/SBE/WOSB/MBE,"<a href=""https://www.rightskale.com/"" target=""_blank"" rel=""noopener"">https://www.rightskale.com/</a>"
Roots Supply & Services,CPUC,"<a href=""https://www.roots-supply.com"" target=""_blank"" rel=""noopener"">www.roots-supply.com</a>"
Rootshell Enterprise Tech,MBE/SBE/CPUC,"<a href=""https://www.rootshellinc.com"" target=""_blank"" rel=""noopener"">www.rootshellinc.com</a>"
S&S Trucking,SBE/DBE,"<a href=""https://www.snsands.com"" target=""_blank"" rel=""noopener"">www.snsands.com</a>"
S3Infinity,WBE,"<a href=""https://s3infinity.com/"" target=""_blank"" rel=""noopener"">https://s3infinity.com/</a>"
Safiar Consulting Inc,MBE/SBE/WBENC/WOSB,"<a href=""https://www.safiarconsulting.com"" target=""_blank"" rel=""noopener"">www.safiarconsulting.com</a>"
Sapot Systems Inc.,MBE/WBENC,"<a href=""https://www.sapotsystems.com"" target=""_blank"" rel=""noopener"">www.sapotsystems.com</a>"
She Jobs (Surfing),WBENC/Texas Hub,"<a href=""https://www.she-jobs.co"" target=""_blank"" rel=""noopener"">www.she-jobs.co</a>"
Shine logistics group,MBE,"<a href=""https://www.shinelogisticsllc.com"" target=""_blank"" rel=""noopener"">www.shinelogisticsllc.com</a>"
Shotsie Productions,WBENC,"<a href=""https://www.shotsiepro.com"" target=""_blank"" rel=""noopener"">www.shotsiepro.com</a>"
Sigmaways Inc,MBE/SBE,"<a href=""https://www.sigmaways.com"" target=""_blank"" rel=""noopener"">www.sigmaways.com</a>"
Silicon Valley Venture Capital Corp (Global4PL),MBE/CPUC,"<a href=""http://svvcc.com/"" target=""_blank"" rel=""noopener"">http://svvcc.com/</a>"
Silver Strike LLC,MBE/CPUC,"<a href=""https://www.silver-strike.com"" target=""_blank"" rel=""noopener"">www.silver-strike.com</a>"
"Simply Robotix, LLC",WBENC,"<a href=""https://www.simplyrobotix.com"" target=""_blank"" rel=""noopener"">www.simplyrobotix.com</a>"
Sirahu Corp,SBE/MBE/WBE,"<a href=""https://www.sirahu.com/"" target=""_blank"" rel=""noopener"">https://www.sirahu.com/</a>"
SLAQR,MBE/WBENC/NGLCC,"<a href=""https://www.slaqr.com"" target=""_blank"" rel=""noopener"">www.slaqr.com</a>"
Smart Dept Inc.,CPUC/WBENC,"<a href=""https://www.thesmartdept.com"" target=""_blank"" rel=""noopener"">www.thesmartdept.com</a>"
Snackwise Solutions Inc,MBE,"<a href=""https://www.getsnackwise.com"" target=""_blank"" rel=""noopener"">www.getsnackwise.com</a>"
SoCal Building Service Inc,MBE/SBE,"<a href=""https://www.socalbuildingservice.com/"" target=""_blank"" rel=""noopener"">https://www.socalbuildingservice.com/</a>"
Sonya Paz Inc dba Vinopaint,MBE/WBENC,"<a href=""https://www.vinopaint.com"" target=""_blank"" rel=""noopener"">www.vinopaint.com</a>"
"Spacecraft, LLC",WBENC,"<a href=""https://www.spacecraftshuttle.com"" target=""_blank"" rel=""noopener"">www.spacecraftshuttle.com</a>"
"sparkSTUDIO, Inc.",WBENC/WOSB,"<a href=""https://sparkstudiodesign.com"" target=""_blank"" rel=""noopener"">sparkstudiodesign.com</a>"
SRS Consulting Inc,WBENC/CMAS/MBE,"<a href=""https://www.srsconsultinginc.com"" target=""_blank"" rel=""noopener"">www.srsconsultinginc.com</a>"
"SSRP Information Technologies, LLC",MBE,"<a href=""http://www.ssrpit.com/"" target=""_blank"" rel=""noopener"">http://www.ssrpit.com/</a>"
Stacklogy Inc,MBE/SBE,"<a href=""https://stacklogy.com"" target=""_blank"" rel=""noopener"">stacklogy.com</a>"
Stellar Soft Solutions Inc,WOSB/WBENC/SME/MBE/CPUC,"<a href=""https://www.stellarsoftinc.com"" target=""_blank"" rel=""noopener"">www.stellarsoftinc.com</a>"
Strategic Building Innovation,MBE/WBENC,"<a href=""https://www.sbi.international"" target=""_blank"" rel=""noopener"">www.sbi.international</a>"
Subarzsweets LLC,WBENC/WOSB,"<a href=""https://www.subarzsweets.com"" target=""_blank"" rel=""noopener"">www.subarzsweets.com</a>"
Supersonic Management,MBE,"<a href=""https://www.sonicmgmt.net"" target=""_blank"" rel=""noopener"">www.sonicmgmt.net</a>"
"Swisher Productions, LLC",WBENC,"<a href=""https://www.swisherproductions.com"" target=""_blank"" rel=""noopener"">www.swisherproductions.com</a>"
Synectics Inc.,MBE/WBE,"<a href=""http://www.synectics.com"" target=""_blank"" rel=""noopener"">http://www.synectics.com</a>"
Talent Junction LLC,WOSB/WBENC/SBE/MBE,"<a href=""https://www.talent-junction.com"" target=""_blank"" rel=""noopener"">www.talent-junction.com</a>"
Techees Recruiting,WBENC/SBE/CPUC,"<a href=""https://www.techees.com"" target=""_blank"" rel=""noopener"">www.techees.com</a>"
Teklus Construction,NVBDC,"<a href=""https://www.teklus.com/"" target=""_blank"" rel=""noopener"">https://www.teklus.com/</a>"
"TelePass, LLC",WBENC,"<a href=""https://www.telepassllc.com"" target=""_blank"" rel=""noopener"">www.telepassllc.com</a>"
Teneral Cellars Inc,WBENC,"<a href=""https://www.teneralcellars.com"" target=""_blank"" rel=""noopener"">www.teneralcellars.com</a>"
"Tezerakt, LLC",MBE/WBENC,"<a href=""https://www.tezerakt.com"" target=""_blank"" rel=""noopener"">www.tezerakt.com</a>"
"Tharu Technologies, LLC",MBE/WBENC/WOSB/SAM,"<a href=""https://www.tharutechnologies.com"" target=""_blank"" rel=""noopener"">www.tharutechnologies.com</a>"
The How LLC dba The How Skills,WBENC/DBE,"<a href=""https://www.thehowskills.com"" target=""_blank"" rel=""noopener"">www.thehowskills.com</a>"
The Life Currency,MBE/WBENC,"<a href=""https://www.thelifecurrency.com/"" target=""_blank"" rel=""noopener"">https://www.thelifecurrency.com/</a>"
The Miles Group,MBE/WBENC/DBE,"<a href=""https://www.themilesgroupconstruction.com"" target=""_blank"" rel=""noopener"">www.themilesgroupconstruction.com</a>"
"Thenamel, LLC",MBE,"<a href=""https://www.thenamel.com"" target=""_blank"" rel=""noopener"">www.thenamel.com</a>"
Thomas Clark Solutions LLC,MBE/NVBDC,"<a href=""https://thomasclark.solutions.com"" target=""_blank"" rel=""noopener"">thomasclark.solutions.com</a>"
TIRO Life Coaching,WOSB/WBENC/SBE/MBE/CPUC,"<a href=""https://www.tirolifecoaching.com"" target=""_blank"" rel=""noopener"">www.tirolifecoaching.com</a>"
THL Logistics,MBE/HubZone,"<a href=""https://www.tlhspeedlogistics.com"" target=""_blank"" rel=""noopener"">www.tlhspeedlogistics.com</a>"
Topa Architecture,CPUC/MBE/DBE,"<a href=""https://topaarchitecture.com/"" target=""_blank"" rel=""noopener"">https://topaarchitecture.com/</a>"
Trademark Events Production,MBE/WBENC,"<a href=""https://wearetrademark.com"" target=""_blank"" rel=""noopener"">wearetrademark.com</a>"
Translucent Resources LLC,WOSB/WBENC,"<a href=""https://www.transluc.com"" target=""_blank"" rel=""noopener"">www.transluc.com</a>"
TriCore Panels,WBENC/DBE,"<a href=""https://TriCorePanels.com"" target=""_blank"" rel=""noopener"">TriCorePanels.com</a>"
Trident Consuting,MBE/SBE/WBENC/WOSB/CPUC,"<a href=""https://www.trident.consulting/"" target=""_blank"" rel=""noopener"">https://www.trident.consulting/</a>"
Trident Security Solutions,NVBDC,"<a href=""https://www.trident-llc.com"" target=""_blank"" rel=""noopener"">www.trident-llc.com</a>"
"Trilyon, Inc",SAM/WOSB/USPAACC,"<a href=""https://trilyonservices.com/"" target=""_blank"" rel=""noopener"">https://trilyonservices.com/</a>"
Triune Infomatics,MBE/SBE/CMAS,"<a href=""https://www.triuneinfomatics.com"" target=""_blank"" rel=""noopener"">www.triuneinfomatics.com</a>"
"TurnoutNow, LLC",MBE,"<a href=""https://www.turnoutnow.com"" target=""_blank"" rel=""noopener"">www.turnoutnow.com</a>"
Unbound Solutions,MBE/WBENC,"<a href=""https://www.unboundsolutions.net"" target=""_blank"" rel=""noopener"">www.unboundsolutions.net</a>"
Urpan Technologies Inc,SBE/MBE,"<a href=""https://www.urpantech.com"" target=""_blank"" rel=""noopener"">www.urpantech.com</a>"
V Dolan Trucking,CPUC,"<a href=""http://www.vdolantrucking.com/"" target=""_blank"" rel=""noopener"">http://www.vdolantrucking.com/</a>"
VCloudSys,WOSB,"<a href=""https://n/a"" target=""_blank"" rel=""noopener"">n/a</a>"
Ven Solutions LLC,MBE/WBENC/State Cert,"<a href=""https://VENSOLVE.COM"" target=""_blank"" rel=""noopener"">VENSOLVE.COM</a>"
"VenusGeo Solutions, LLC",MBE/SBE,"<a href=""https://www.venusgeo.com"" target=""_blank"" rel=""noopener"">www.venusgeo.com</a>"
"Verb, LLC",WBE/MBE/SBE,"<a href=""https://www.pickaverb.com/"" target=""_blank"" rel=""noopener"">https://www.pickaverb.com/</a>"
Verde Associates LLC,MBE/WBENC,"<a href=""https://www.verdeassociates.com"" target=""_blank"" rel=""noopener"">www.verdeassociates.com</a>"
Versatile Studios,MBE,"<a href=""https://www.versatilestudios.com"" target=""_blank"" rel=""noopener"">www.versatilestudios.com</a>"
Viledge LLC,MBE/WBENC,"<a href=""https://www.viledge.com"" target=""_blank"" rel=""noopener"">www.viledge.com</a>"
Virago Search,WBENC,"<a href=""http://www.viragosearch.com"" target=""_blank"" rel=""noopener"">http://www.viragosearch.com</a>"
Visible Hands,MBE,"<a href=""https://www.visiblehands.vc"" target=""_blank"" rel=""noopener"">www.visiblehands.vc</a>"
VIVA Creative LLC,MBE,"<a href=""https://www.vivacreative.com"" target=""_blank"" rel=""noopener"">www.vivacreative.com</a>"
VL Technologies,WBE/WOSB/SAM,"<a href=""https://vltechllc.com/"" target=""_blank"" rel=""noopener"">https://vltechllc.com/</a>"
Voler Strategic Advisors,SBE/MBE/WBENC/WOSB,"<a href=""https://www.volersa.com"" target=""_blank"" rel=""noopener"">www.volersa.com</a>"
Von Holzhausen,WBE,"<a href=""https://vonholzhausen.com"" target=""_blank"" rel=""noopener"">vonholzhausen.com</a>"
"VR Perspectives, LLC",WBENC/WOSB,"<a href=""https://www.vrperspectives.com"" target=""_blank"" rel=""noopener"">www.vrperspectives.com</a>"
VSolutions Technologies Inc,WBE,"<a href=""https://vsolutionstech.com/"" target=""_blank"" rel=""noopener"">https://vsolutionstech.com/</a>"
"vXecute, Inc",SBE,"<a href=""https://www.vxecute.com"" target=""_blank"" rel=""noopener"">www.vxecute.com</a>"
Webmobilez Inc,WBENC,"<a href=""https://www.webmobilez.com"" target=""_blank"" rel=""noopener"">www.webmobilez.com</a>"
"Westminster Promotions, Inc.",MBE/WBENC,"<a href=""https://www.westminsterpromotions.com"" target=""_blank"" rel=""noopener"">www.westminsterpromotions.com</a>"
Whoz Nxt LLC,MBE/SBE/WBENC/CPUC,"<a href=""https://www.whoznxt.com"" target=""_blank"" rel=""noopener"">www.whoznxt.com</a>"
Wine Family Cellars LLC,MBE/WBE,"<a href=""http://www.winefamilygroup.com/"" target=""_blank"" rel=""noopener"">http://www.winefamilygroup.com/</a>"
"Wordsmithie, Inc.",WBENC,"<a href=""https://www.wordsmithie.com"" target=""_blank"" rel=""noopener"">www.wordsmithie.com</a>"
XX Artists Inc.,NGLCC,"<a href=""https://www.xxartists.com"" target=""_blank"" rel=""noopener"">www.xxartists.com</a>"
YC + D Architecture,MBE/SBE/WBENC/WOSB,"<a href=""https://www.ycplusd.com"" target=""_blank"" rel=""noopener"">www.ycplusd.com</a>"
You Are Tech,WBE/MBE/SBE,"<a href=""https://www.youaretech.com/"" target=""_blank"" rel=""noopener"">https://www.youaretech.com/</a>"
Zealtech Inc,MBE/SBE/SLEB,"<a href=""https://www.zealtechus.com"" target=""_blank"" rel=""noopener"">www.zealtechus.com</a>"
ZillionX LLC,MBE/WBENC/WOSB/CPUC,"<a href=""https://www.zillionix.com"" target=""_blank"" rel=""noopener"">www.zillionix.com</a>"
